Hour,Day,Month,Year,Demand(MW),Day_of_week
9,11,7,2021,10006,1
10,11,7,2021,10282,1
11,11,7,2021,10426,1
12,11,7,2021,10745,1
13,11,7,2021,11003,1
14,11,7,2021,11166,1
15,11,7,2021,11383,1
16,11,7,2021,11465,1
17,11,7,2021,10744,1
18,11,7,2021,10205,1
19,11,7,2021,10963,1
20,11,7,2021,12661,1
21,11,7,2021,12900,1
22,11,7,2021,12780,1
23,11,7,2021,12912,1
24,11,7,2021,12654,1
1,12,7,2021,12487,2
2,12,7,2021,12057,2
3,12,7,2021,11761,2
4,12,7,2021,11572,2
5,12,7,2021,11306,2
6,12,7,2021,10312,2
7,12,7,2021,10089,2
8,12,7,2021,10096,2
9,12,7,2021,10490,2
10,12,7,2021,10839,2
11,12,7,2021,10809,2
12,12,7,2021,11176,2
13,12,7,2021,11492,2
14,12,7,2021,11593,2
15,12,7,2021,11826,2
16,12,7,2021,11807,2
17,12,7,2021,10948,2
18,12,7,2021,10290,2
19,12,7,2021,11124,2
20,12,7,2021,12812,2
21,12,7,2021,13022,2
22,12,7,2021,12992,2
23,12,7,2021,13011,2
24,12,7,2021,12828,2
1,13,7,2021,12371,3
2,13,7,2021,11944,3
3,13,7,2021,11765,3
4,13,7,2021,11481,3
