Year,Month,Day,Hour,Demand(kW),Day_of_week,Holiday
2021,7,3,16,191.12,7,1
2021,7,3,17,179.5,7,1
2021,7,3,18,175.98,7,1
2021,7,3,19,195.32,7,1
2021,7,3,20,226.86,7,1
2021,7,3,21,230.3,7,1
2021,7,3,22,228.48,7,1
2021,7,3,23,220.16,7,1
2021,7,3,24,216.28,7,1
2021,7,4,1,206.24,1,1
2021,7,4,2,198.86,1,1
2021,7,4,3,194.66,1,1
2021,7,4,4,191.48,1,1
2021,7,4,5,184.46,1,1
2021,7,4,6,172.74,1,1
2021,7,4,7,166.7,1,1
2021,7,4,8,170.32,1,1
2021,7,4,9,177.92,1,1
2021,7,4,10,182.06,1,1
2021,7,4,11,182.8,1,1
2021,7,4,12,189.06,1,1
2021,7,4,13,191.76,1,1
2021,7,4,14,191.7,1,1
2021,7,4,15,196.6,1,1
2021,7,4,16,195.52,1,1
2021,7,4,17,183.18,1,1
2021,7,4,18,176.54,1,1
2021,7,4,19,193.58,1,1
2021,7,4,20,228.64,1,1
2021,7,4,21,234.08,1,1
2021,7,4,22,226.84,1,1
2021,7,4,23,226.04,1,1
2021,7,4,24,219.78,1,1
2021,7,5,1,208.6,2,1
2021,7,5,2,204.38,2,1
2021,7,5,3,196.68,2,1
2021,7,5,4,192.32,2,1
2021,7,5,5,187.9,2,1
2021,7,5,6,175.24,2,1
2021,7,5,7,173.08,2,1
2021,7,5,8,175.12,2,1
2021,7,5,9,184.36,2,1
2021,7,5,10,193.12,2,1
2021,7,5,11,196.5,2,1
2021,7,5,12,204.62,2,1
2021,7,5,13,209.26,2,1
2021,7,5,14,210.56,2,1
2021,7,5,15,215.62,2,1
2021,7,5,16,211.16,2,1
2021,7,5,17,197.24,2,1
2021,7,5,18,188.12,2,1
2021,7,5,19,206.48,2,1
2021,7,5,20,240.72,2,1
